"date","close","volume","open","high","low"
"10:46","39.86","13,306","40.02","40.16","39.86"
"2018/06/04","38.9700","39308.0000","38.3460","39.0300","38.1200"
"2018/06/01","37.8500","46553.0000","38.2700","38.7100","37.7500"
"2018/05/31","38.2700","80102.0000","39.0000","39.0000","37.4800"
"2018/05/30","40.0100","29677.0000","40.4000","40.4000","39.9260"
"2018/05/29","39.7400","55905.0000","39.7820","40.6900","39.6700"
"2018/05/25","38.1800","63412.0000","37.4400","38.6700","37.3800"
"2018/05/24","37.9100","35196.0000","38.4300","38.6599","37.8900"
"2018/05/23","38.2750","24041.0000","38.5000","38.6150","37.8600"
"2018/05/22","39.0000","36930.0000","40.0300","40.2400","38.8100"
"2018/05/21","41.1000","29635.0000","40.7000","41.4300","40.7000"
"2018/05/18","40.8300","28060.0000","40.6100","40.8300","39.9601"
"2018/05/17","40.5800","71310.0000","42.3000","42.5000","40.3300"
"2018/05/16","41.8800","38013.0000","41.6900","42.0000","41.6000"
"2018/05/15","41.4167","16993.0000","40.9000","41.5500","40.7200"
"2018/05/14","41.3600","47253.0000","42.2400","42.2400","41.1600"
"2018/05/11","42.0400","36434.0000","42.4000","42.6800","41.9800"
"2018/05/10","42.2200","115363.0000","43.4900","43.8200","41.9600"
"2018/05/09","44.3100","24875.0000","44.3200","44.3800","43.7300"
"2018/05/08","44.1500","49035.0000","44.2000","45.0500","43.8800"
"2018/05/07","44.1600","39818.0000","43.7000","44.2300","43.3400"
"2018/05/04","44.7400","20006.0000","44.3600","45.0798","44.3400"
"2018/05/03","44.1000","45306.0000","44.1000","44.9300","44.0200"
"2018/05/02","43.2700","45519.0000","42.9100","43.4800","42.8200"
"2018/05/01","41.9200","46695.0000","41.8300","42.6600","41.6000"
"2018/04/30","43.0700","16648.0000","43.5000","44.0340","43.0400"
"2018/04/27","42.7989","37368.0000","42.2268","42.8200","42.2000"
"2018/04/26","41.2500","50198.0000","41.7690","41.8300","40.8600"
"2018/04/25","41.7600","42678.0000","42.1100","42.4200","41.7600"
"2018/04/24","41.7500","25800.0000","42.2100","42.2100","41.7000"
"2018/04/23","42.8500","16783.0000","43.3100","43.3100","42.5750"
"2018/04/20","42.9500","24157.0000","44.3500","44.3500","42.9000"
"2018/04/19","44.6900","66551.0000","44.3000","45.1000","43.1500"
"2018/04/18","42.7800","21941.0000","42.1000","43.1000","41.6000"
"2018/04/17","42.9250","5369.0000","42.7000","42.9250","42.3800"
"2018/04/16","42.6200","15909.0000","42.4000","42.6200","42.0500"
"2018/04/13","43.1800","20732.0000","43.1480","43.2980","42.5000"
"2018/04/12","44.7000","8941.0000","44.5900","45.0000","44.2900"
"2018/04/11","44.9600","14832.0000","44.7000","44.9800","44.4200"
"2018/04/10","45.1850","22333.0000","45.1300","45.5500","45.0200"
"2018/04/09","43.9900","23189.0000","44.0950","45.6000","43.9200"
"2018/04/06","43.8100","17523.0000","43.7360","44.0000","43.5200"
"2018/04/05","44.5710","22741.0000","43.8900","45.1690","43.8900"
"2018/04/04","43.7000","40706.0000","42.9350","43.7700","42.5500"
"2018/04/03","43.9800","15499.0000","44.1790","44.2800","43.7500"
"2018/04/02","44.5900","41256.0000","44.8500","45.3700","44.3900"
"2018/03/29","42.8300","51330.0000","41.9500","42.9800","41.8900"
"2018/03/28","43.8400","25239.0000","43.9500","44.2300","43.7400"
"2018/03/27","43.5400","44795.0000","44.4500","45.0000","43.3100"
"2018/03/26","44.9400","34890.0000","45.6600","45.7400","44.9000"
"2018/03/23","46.3800","10141.0000","46.5800","46.5800","45.5900"
"2018/03/22","45.6450","10723.0000","44.9400","45.6600","44.1200"
"2018/03/21","44.8900","35410.0000","43.3400","45.2000","43.3400"
"2018/03/20","43.9600","15122.0000","44.1900","44.6152","43.4100"
"2018/03/19","44.6000","20445.0000","44.9000","44.9700","44.5048"
"2018/03/16","43.2800","10829.0000","44.0000","44.0000","43.2000"
"2018/03/15","43.6300","21582.0000","41.9500","44.0800","41.9310"
"2018/03/14","42.0700","43539.0000","42.4000","42.8600","42.0700"
"2018/03/13","40.7500","8608.0000","40.7000","41.1100","40.6800"
"2018/03/12","40.8300","22758.0000","41.1000","41.2300","40.4000"
"2018/03/09","42.4210","11432.0000","42.2230","42.4400","41.9900"
"2018/03/08","41.7600","18541.0000","41.1300","41.8400","41.1000"
"2018/03/07","40.8200","10063.0000","40.8800","41.2300","40.7463"
"2018/03/06","41.6600","14158.0000","42.0000","42.1600","41.6600"
"2018/03/05","43.0600","9313.0000","43.0390","43.4600","42.7700"
"2018/03/02","42.9200","22042.0000","43.0900","43.3600","42.8400"
"2018/03/01","43.5500","30837.0000","43.7500","44.2700","42.5900"
"2018/02/28","44.3318","18568.0000","43.6000","44.5500","43.2100"
"2018/02/27","43.8000","37809.0000","44.3400","44.5900","43.4000"
"2018/02/26","43.9500","26895.0000","43.6000","44.8700","43.5000"
"2018/02/23","44.5300","35042.0000","44.9900","45.4900","44.3300"
"2018/02/22","44.7599","23215.0000","44.3300","44.9200","43.9300"
"2018/02/21","44.2500","49250.0000","43.9700","44.6600","43.5800"
"2018/02/20","44.8000","40662.0000","44.5000","45.2064","44.4000"
"2018/02/16","46.4100","43972.0000","46.6000","46.8800","46.3000"
"2018/02/15","46.0129","18247.0000","46.5000","46.8390","45.6900"
"2018/02/14","45.5000","34406.0000","46.8000","46.8000","45.3100"
"2018/02/13","45.6800","16771.0000","45.5700","45.7200","45.2000"
"2018/02/12","47.0500","25052.0000","47.3900","47.5400","46.7410"
"2018/02/09","45.8900","45236.0000","45.3000","46.9100","45.3000"
"2018/02/08","43.6300","50763.0000","42.6900","43.9000","42.2500"
"2018/02/07","43.5200","34936.0000","43.2000","43.7700","42.6500"
"2018/02/06","41.6100","46716.0000","43.2500","43.2500","41.4400"
"2018/02/05","41.8600","122054.0000","40.7700","42.3200","40.4300"
"2018/02/02","38.7600","68879.0000","39.0100","39.4400","38.5100"
"2018/02/01","38.3400","225034.0000","37.7000","39.4800","37.4100"
"2018/01/31","36.3900","275998.0000","34.5000","36.5000","34.4429"
"2018/01/30","32.2400","211933.0000","31.5000","32.3900","30.7000"
"2018/01/29","32.1100","176667.0000","34.0000","34.0000","31.9800"
"2018/01/26","32.2600","170249.0000","32.4000","32.4799","31.7100"
"2018/01/25","33.7900","183310.0000","33.5200","34.2000","32.3200"
"2018/01/24","35.0050","173482.0000","34.0200","35.4700","33.1200"
"2018/01/23","34.5100","247444.0000","35.3800","35.9000","33.5000"
"2018/01/22","37.7200","48590.0000","38.4000","38.5100","37.6700"
"2018/01/19","37.6800","81801.0000","37.2000","38.0100","36.3700"
"2018/01/18","36.5400","103077.0000","36.2400","38.5037","36.2000"
"2018/01/17","35.8000","72462.0000","36.4000","36.7900","35.4200"
"2018/01/16","37.8000","41183.0000","38.2200","39.0200","37.0304"
"2018/01/12","36.9600","105283.0000","38.4200","38.6700","36.4900"
"2018/01/11","38.6600","93289.0000","39.0900","40.6400","38.2500"
"2018/01/10","41.4300","35911.0000","39.7000","42.2000","39.4900"
"2018/01/09","39.9200","42465.0000","42.5000","43.2900","39.6000"
"2018/01/08","43.5100","41282.0000","42.9400","44.3100","42.5000"
"2018/01/05","44.0000","74426.0000","44.1700","44.6599","43.5200"
"2018/01/04","41.9500","59120.0000","39.0100","42.7100","38.1200"
"2018/01/03","39.1000","67226.0000","38.7400","39.7500","38.5000"
"2018/01/02","38.0500","89889.0000","37.1000","39.0600","36.9000"
"2017/12/29","39.6500","75861.0000","38.8000","40.1100","38.1000"
"2017/12/28","40.2500","64773.0000","41.8900","42.1400","39.4600"
"2017/12/27","46.2600","68483.0000","45.8800","46.9500","45.8300"
"2017/12/26","49.4300","26556.0000","49.1400","49.7400","48.1300"
"2017/12/22","49.0700","23301.0000","50.1400","50.2500","49.0000"
"2017/12/21","51.3600","96338.0000","50.9700","52.1200","49.4600"
"2017/12/20","49.8000","43048.0000","48.2300","50.7900","48.2300"
"2017/12/19","47.3000","63934.0000","46.2000","48.0000","45.4500"
"2017/12/18","46.2001","68885.0000","46.1600","46.4400","44.9900"
"2017/12/15","49.9200","66563.0000","48.2300","51.3000","47.8100"
"2017/12/14","47.7400","62479.0000","47.5700","49.3800","47.1810"
"2017/12/13","47.4700","63249.0000","47.5000","48.9613","45.9100"
"2017/12/12","47.8200","90556.0000","43.7000","48.2600","43.7000"
"2017/12/11","44.5200","28549.0000","44.0000","44.5200","43.3600"
"2017/12/08","45.2900","69408.0000","44.8900","45.8000","44.6500"
"2017/12/07","45.5400","164379.0000","43.8100","46.0800","43.8100"
"2017/12/06","41.6000","36043.0000","40.6600","42.2400","40.6600"
"2017/12/05","41.4800","166171.0000","41.7900","42.3556","41.0800"
"2017/12/04","39.6800","107848.0000","38.1200","40.4592","38.1200"
"2017/12/01","37.6400","61109.0000","37.1900","37.8900","36.5900"
"2017/11/30","38.2200","171869.0000","37.2900","38.9500","37.1300"
"2017/11/29","35.3400","84073.0000","34.6800","35.6800","34.6052"
"2017/11/28","36.4200","117773.0000","37.4000","37.4000","35.7700"
"2017/11/27","38.9600","73429.0000","40.0400","40.1900","38.8300"
"2017/11/24","41.9000","99269.0000","40.1400","42.4700","40.1400"
"2017/11/22","38.5800","140866.0000","38.5000","38.7700","37.9400"
"2017/11/21","37.3800","44343.0000","36.7400","37.4700","36.3800"
"2017/11/20","36.8200","32104.0000","36.7700","37.0400","36.2700"
"2017/11/17","35.1100","38411.0000","35.7900","36.0200","35.0000"
"2017/11/16","36.1300","40827.0000","35.4900","36.5600","35.3800"
"2017/11/15","35.7700","54125.0000","34.9800","36.4000","34.5100"
"2017/11/14","35.8000","37940.0000","35.9900","36.1700","35.3300"
"2017/11/13","34.5700","70990.0000","34.1500","34.8800","32.9700"
"2017/11/10","33.1600","20080.0000","33.4980","33.8600","33.1400"
"2017/11/09","33.2600","76948.0000","33.3700","34.1390","33.1600"
"2017/11/08","34.2700","36184.0000","33.9900","34.3000","33.7500"
"2017/11/07","34.4600","73284.0000","35.2400","35.4800","33.9600"
"2017/11/06","35.2900","113765.0000","36.1500","36.2063","34.6300"
"2017/11/03","38.1300","69137.0000","38.2100","38.4600","37.8400"
"2017/11/02","39.1700","91729.0000","39.6100","39.8590","38.6700"
"2017/11/01","39.9400","98969.0000","40.7400","40.7800","39.9200"
"2017/10/31","39.7100","79096.0000","38.7200","40.1800","38.7200"
"2017/10/30","37.8300","43824.0000","37.9400","38.2000","37.2200"
"2017/10/27","37.9699","77058.0000","37.9000","38.4900","37.8100"
"2017/10/26","36.3600","42707.0000","36.4400","36.5700","35.9600"
"2017/10/25","35.5600","80232.0000","35.4000","35.8300","35.0231"
"2017/10/24","34.4900","27913.0000","34.6100","34.9000","34.4200"
"2017/10/23","34.5600","96703.0000","34.0400","34.5600","33.8534"
"2017/10/20","35.2300","35104.0000","35.6000","35.7300","34.8800"
"2017/10/19","35.3800","72144.0000","35.8800","37.0200","35.1000"
"2017/10/18","35.6800","40203.0000","35.8000","36.1200","35.6800"
"2017/10/17","35.5600","14006.0000","34.3600","35.5600","34.1000"
"2017/10/16","34.9500","26863.0000","35.8100","36.0395","34.9500"
"2017/10/13","34.5100","45344.0000","34.2550","34.6600","34.0500"
"2017/10/12","34.8600","64570.0000","35.6200","35.7000","34.3300"
"2017/10/11","36.4100","39045.0000","35.1100","36.7005","35.1100"
